cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.version_text: "2026-08-29T18:54:14Z/7"
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.assignment_stale: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.assignment_timeout_received: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.assignment_use_cached: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.cx_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.cx_pool_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.remaining_cx: 10000
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.remaining_cx_pools: 18446744073709551615
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.remaining_pending: 10000
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.remaining_retries: 4294967295
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.remaining_rq: 10000
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.rq_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.rq_pending_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.default.rq_retry_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.high.cx_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.high.cx_pool_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.high.rq_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.high.rq_pending_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.circuit_breakers.high.rq_retry_open: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.default.total_match_count: 2
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.init_fetch_timeout: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.last_update_success: 1
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_healthy_panic: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_local_cluster_not_ok: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_recalculate_zone_structures: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_subsets_active: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_subsets_created: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_subsets_fallback: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_subsets_fallback_panic: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_subsets_removed: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_subsets_selected: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_zone_cluster_too_small: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_zone_no_capacity_left: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_zone_routing_all_directly: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_zone_routing_cross_zone: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.lb_zone_routing_sampled: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.max_host_weight: 1
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.membership_change: 1
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.membership_degraded: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.membership_excluded: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.membership_healthy: 1
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.membership_total: 1
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.update_attempt: 3
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.update_empty: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.update_failure: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.update_no_rebuild: 1
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.update_rejected: 0
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.update_success: 2
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.update_time: 1788029654631
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.version: 3454460961708220952
cluster.outbound|5678||pr4286-dummy-backend.pr4286-runtime.svc.cluster.local.warming_state: 0
cluster.prometheus_stats.assignment_stale: 0
cluster.prometheus_stats.assignment_timeout_received: 0
cluster.prometheus_stats.assignment_use_cached: 0
cluster.prometheus_stats.circuit_breakers.default.cx_open: 0
cluster.prometheus_stats.circuit_breakers.default.cx_pool_open: 0
cluster.prometheus_stats.circuit_breakers.default.rq_open: 0
cluster.prometheus_stats.circuit_breakers.default.rq_pending_open: 0
cluster.prometheus_stats.circuit_breakers.default.rq_retry_open: 0
cluster.prometheus_stats.circuit_breakers.high.cx_open: 0
cluster.prometheus_stats.circuit_breakers.high.cx_pool_open: 0
cluster.prometheus_stats.circuit_breakers.high.rq_open: 0
cluster.prometheus_stats.circuit_breakers.high.rq_pending_open: 0
cluster.prometheus_stats.circuit_breakers.high.rq_retry_open: 0
cluster.prometheus_stats.default.total_match_count: 1
cluster.prometheus_stats.lb_healthy_panic: 0
cluster.prometheus_stats.lb_local_cluster_not_ok: 0
cluster.prometheus_stats.lb_recalculate_zone_structures: 0
cluster.prometheus_stats.lb_subsets_active: 0
cluster.prometheus_stats.lb_subsets_created: 0
cluster.prometheus_stats.lb_subsets_fallback: 0
cluster.prometheus_stats.lb_subsets_fallback_panic: 0
cluster.prometheus_stats.lb_subsets_removed: 0
cluster.prometheus_stats.lb_subsets_selected: 0
cluster.prometheus_stats.lb_zone_cluster_too_small: 0
cluster.prometheus_stats.lb_zone_no_capacity_left: 0
cluster.prometheus_stats.lb_zone_routing_all_directly: 0
cluster.prometheus_stats.lb_zone_routing_cross_zone: 0
cluster.prometheus_stats.lb_zone_routing_sampled: 0
cluster.prometheus_stats.max_host_weight: 0
cluster.prometheus_stats.membership_change: 1
cluster.prometheus_stats.membership_degraded: 0
cluster.prometheus_stats.membership_excluded: 0
cluster.prometheus_stats.membership_healthy: 1
cluster.prometheus_stats.membership_total: 1
cluster.prometheus_stats.update_attempt: 0
cluster.prometheus_stats.update_empty: 0
cluster.prometheus_stats.update_failure: 0
cluster.prometheus_stats.update_no_rebuild: 0
cluster.prometheus_stats.update_success: 0
cluster.prometheus_stats.version: 0
cluster.prometheus_stats.warming_state: 0
cluster.sds-grpc.assignment_stale: 0
cluster.sds-grpc.assignment_timeout_received: 0
cluster.sds-grpc.assignment_use_cached: 0
cluster.sds-grpc.circuit_breakers.default.cx_open: 0
cluster.sds-grpc.circuit_breakers.default.cx_pool_open: 0
cluster.sds-grpc.circuit_breakers.default.rq_open: 0
cluster.sds-grpc.circuit_breakers.default.rq_pending_open: 0
cluster.sds-grpc.circuit_breakers.default.rq_retry_open: 0
cluster.sds-grpc.circuit_breakers.high.cx_open: 0
cluster.sds-grpc.circuit_breakers.high.cx_pool_open: 0
cluster.sds-grpc.circuit_breakers.high.rq_open: 0
cluster.sds-grpc.circuit_breakers.high.rq_pending_open: 0
cluster.sds-grpc.circuit_breakers.high.rq_retry_open: 0
cluster.sds-grpc.default.total_match_count: 1
cluster.sds-grpc.lb_healthy_panic: 0
cluster.sds-grpc.lb_local_cluster_not_ok: 0
cluster.sds-grpc.lb_recalculate_zone_structures: 0
cluster.sds-grpc.lb_subsets_active: 0
cluster.sds-grpc.lb_subsets_created: 0
cluster.sds-grpc.lb_subsets_fallback: 0
cluster.sds-grpc.lb_subsets_fallback_panic: 0
cluster.sds-grpc.lb_subsets_removed: 0
cluster.sds-grpc.lb_subsets_selected: 0
cluster.sds-grpc.lb_zone_cluster_too_small: 0
cluster.sds-grpc.lb_zone_no_capacity_left: 0
cluster.sds-grpc.lb_zone_routing_all_directly: 0
cluster.sds-grpc.lb_zone_routing_cross_zone: 0
cluster.sds-grpc.lb_zone_routing_sampled: 0
cluster.sds-grpc.max_host_weight: 0
cluster.sds-grpc.membership_change: 1
cluster.sds-grpc.membership_degraded: 0
cluster.sds-grpc.membership_excluded: 0
cluster.sds-grpc.membership_healthy: 1
cluster.sds-grpc.membership_total: 1
cluster.sds-grpc.update_attempt: 0
cluster.sds-grpc.update_empty: 0
cluster.sds-grpc.update_failure: 0
cluster.sds-grpc.update_no_rebuild: 0
cluster.sds-grpc.update_success: 0
cluster.sds-grpc.version: 0
cluster.sds-grpc.warming_state: 0
cluster.xds-grpc.assignment_stale: 0
cluster.xds-grpc.assignment_timeout_received: 0
cluster.xds-grpc.assignment_use_cached: 0
cluster.xds-grpc.bind_errors: 0
cluster.xds-grpc.circuit_breakers.default.cx_open: 0
cluster.xds-grpc.circuit_breakers.default.cx_pool_open: 0
cluster.xds-grpc.circuit_breakers.default.rq_open: 0
cluster.xds-grpc.circuit_breakers.default.rq_pending_open: 0
cluster.xds-grpc.circuit_breakers.default.rq_retry_open: 0
cluster.xds-grpc.circuit_breakers.high.cx_open: 0
cluster.xds-grpc.circuit_breakers.high.cx_pool_open: 0
cluster.xds-grpc.circuit_breakers.high.rq_open: 0
cluster.xds-grpc.circuit_breakers.high.rq_pending_open: 0
cluster.xds-grpc.circuit_breakers.high.rq_retry_open: 0
cluster.xds-grpc.default.total_match_count: 1
cluster.xds-grpc.http2.deferred_stream_close: 0
cluster.xds-grpc.http2.dropped_headers_with_underscores: 0
cluster.xds-grpc.http2.goaway_sent: 0
cluster.xds-grpc.http2.header_list_size_too_large: 0
cluster.xds-grpc.http2.header_overflow: 0
cluster.xds-grpc.http2.headers_cb_no_stream: 0
cluster.xds-grpc.http2.inbound_empty_frames_flood: 0
cluster.xds-grpc.http2.inbound_priority_frames_flood: 0
cluster.xds-grpc.http2.inbound_window_update_frames_flood: 0
cluster.xds-grpc.http2.keepalive_timeout: 0
cluster.xds-grpc.http2.metadata_empty_frames: 0
cluster.xds-grpc.http2.outbound_control_flood: 0
cluster.xds-grpc.http2.outbound_control_frames_active: 0
cluster.xds-grpc.http2.outbound_flood: 0
cluster.xds-grpc.http2.outbound_frames_active: 0
cluster.xds-grpc.http2.pending_send_bytes: 0
cluster.xds-grpc.http2.requests_rejected_with_underscores_in_headers: 0
cluster.xds-grpc.http2.rx_messaging_error: 0
cluster.xds-grpc.http2.rx_reset: 0
cluster.xds-grpc.http2.stream_refused_errors: 0
cluster.xds-grpc.http2.streams_active: 1
cluster.xds-grpc.http2.trailers: 0
cluster.xds-grpc.http2.tx_flush_timeout: 0
cluster.xds-grpc.http2.tx_reset: 0
cluster.xds-grpc.internal.upstream_rq_200: 1
cluster.xds-grpc.internal.upstream_rq_2xx: 1
cluster.xds-grpc.internal.upstream_rq_completed: 1
cluster.xds-grpc.lb_healthy_panic: 0
cluster.xds-grpc.lb_local_cluster_not_ok: 0
cluster.xds-grpc.lb_recalculate_zone_structures: 0
cluster.xds-grpc.lb_subsets_active: 0
cluster.xds-grpc.lb_subsets_created: 0
cluster.xds-grpc.lb_subsets_fallback: 0
cluster.xds-grpc.lb_subsets_fallback_panic: 0
cluster.xds-grpc.lb_subsets_removed: 0
cluster.xds-grpc.lb_subsets_selected: 0
cluster.xds-grpc.lb_zone_cluster_too_small: 0
cluster.xds-grpc.lb_zone_no_capacity_left: 0
cluster.xds-grpc.lb_zone_routing_all_directly: 0
cluster.xds-grpc.lb_zone_routing_cross_zone: 0
cluster.xds-grpc.lb_zone_routing_sampled: 0
cluster.xds-grpc.max_host_weight: 0
cluster.xds-grpc.membership_change: 1
cluster.xds-grpc.membership_degraded: 0
cluster.xds-grpc.membership_excluded: 0
cluster.xds-grpc.membership_healthy: 1
cluster.xds-grpc.membership_total: 1
cluster.xds-grpc.original_dst_host_invalid: 0
cluster.xds-grpc.retry_or_shadow_abandoned: 0
cluster.xds-grpc.update_attempt: 0
cluster.xds-grpc.update_empty: 0
cluster.xds-grpc.update_failure: 0
cluster.xds-grpc.update_no_rebuild: 0
cluster.xds-grpc.update_success: 0
cluster.xds-grpc.upstream_cx_active: 1
cluster.xds-grpc.upstream_cx_close_notify: 0
cluster.xds-grpc.upstream_cx_connect_attempts_exceeded: 0
cluster.xds-grpc.upstream_cx_connect_fail: 0
cluster.xds-grpc.upstream_cx_connect_timeout: 0
cluster.xds-grpc.upstream_cx_connect_with_0_rtt: 0
cluster.xds-grpc.upstream_cx_destroy: 0
cluster.xds-grpc.upstream_cx_destroy_local: 0
cluster.xds-grpc.upstream_cx_destroy_local_with_active_rq: 0
cluster.xds-grpc.upstream_cx_destroy_remote: 0
cluster.xds-grpc.upstream_cx_destroy_remote_with_active_rq: 0
cluster.xds-grpc.upstream_cx_destroy_with_active_rq: 0
cluster.xds-grpc.upstream_cx_http1_total: 0
cluster.xds-grpc.upstream_cx_http2_total: 1
cluster.xds-grpc.upstream_cx_http3_total: 0
cluster.xds-grpc.upstream_cx_idle_timeout: 0
cluster.xds-grpc.upstream_cx_max_duration_reached: 0
cluster.xds-grpc.upstream_cx_max_requests: 1
cluster.xds-grpc.upstream_cx_none_healthy: 0
cluster.xds-grpc.upstream_cx_overflow: 0
cluster.xds-grpc.upstream_cx_pool_overflow: 0
cluster.xds-grpc.upstream_cx_protocol_error: 0
cluster.xds-grpc.upstream_cx_rx_bytes_buffered: 17
cluster.xds-grpc.upstream_cx_rx_bytes_total: 20235
cluster.xds-grpc.upstream_cx_total: 1
cluster.xds-grpc.upstream_cx_tx_bytes_buffered: 0
cluster.xds-grpc.upstream_cx_tx_bytes_total: 1031963
cluster.xds-grpc.upstream_flow_control_backed_up_total: 0
cluster.xds-grpc.upstream_flow_control_drained_total: 0
cluster.xds-grpc.upstream_flow_control_paused_reading_total: 0
cluster.xds-grpc.upstream_flow_control_resumed_reading_total: 0
cluster.xds-grpc.upstream_http3_broken: 0
cluster.xds-grpc.upstream_internal_redirect_failed_total: 0
cluster.xds-grpc.upstream_internal_redirect_succeeded_total: 0
cluster.xds-grpc.upstream_rq_0rtt: 0
cluster.xds-grpc.upstream_rq_200: 1
cluster.xds-grpc.upstream_rq_2xx: 1
cluster.xds-grpc.upstream_rq_active: 1
cluster.xds-grpc.upstream_rq_cancelled: 0
cluster.xds-grpc.upstream_rq_completed: 1
cluster.xds-grpc.upstream_rq_maintenance_mode: 0
cluster.xds-grpc.upstream_rq_max_duration_reached: 0
cluster.xds-grpc.upstream_rq_pending_active: 0
cluster.xds-grpc.upstream_rq_pending_failure_eject: 0
cluster.xds-grpc.upstream_rq_pending_overflow: 0
cluster.xds-grpc.upstream_rq_pending_total: 1
cluster.xds-grpc.upstream_rq_per_try_idle_timeout: 0
cluster.xds-grpc.upstream_rq_per_try_timeout: 0
cluster.xds-grpc.upstream_rq_retry: 0
cluster.xds-grpc.upstream_rq_retry_backoff_exponential: 0
cluster.xds-grpc.upstream_rq_retry_backoff_ratelimited: 0
cluster.xds-grpc.upstream_rq_retry_limit_exceeded: 0
cluster.xds-grpc.upstream_rq_retry_overflow: 0
cluster.xds-grpc.upstream_rq_retry_success: 0
cluster.xds-grpc.upstream_rq_rx_reset: 0
cluster.xds-grpc.upstream_rq_timeout: 0
cluster.xds-grpc.upstream_rq_total: 1
cluster.xds-grpc.upstream_rq_tx_reset: 0
cluster.xds-grpc.version: 0
cluster.xds-grpc.warming_state: 0
cluster_manager.active_clusters: 6
cluster_manager.cds.config_reload: 2
cluster_manager.cds.config_reload_time_ms: 1788029654528
cluster_manager.cds.init_fetch_timeout: 0
cluster_manager.cds.last_update_success: 1
cluster_manager.cds.update_attempt: 6
cluster_manager.cds.update_failure: 0
cluster_manager.cds.update_rejected: 0
cluster_manager.cds.update_success: 5
cluster_manager.cds.update_time: 1788029654630
cluster_manager.cds.version: 3454460961708220952
cluster_manager.cluster_added: 6
cluster_manager.cluster_modified: 0
cluster_manager.cluster_removed: 0
cluster_manager.cluster_updated: 0
cluster_manager.cluster_updated_via_merge: 0
cluster_manager.update_merge_cancelled: 0
cluster_manager.update_out_of_merge_window: 0
cluster_manager.warming_clusters: 0
control_plane.connected_state: 1
control_plane.pending_requests: 0
control_plane.rate_limit_enforced: 0
envoy.overload_actions.reset_high_memory_stream.count: 0
extension_config_discovery.http_filter.golang-filter-mcp-server.config_conflict: 0
extension_config_discovery.http_filter.golang-filter-mcp-server.config_fail: 0
extension_config_discovery.http_filter.golang-filter-mcp-server.config_reload: 1
extension_config_discovery.http_filter.golang-filter-mcp-server.golang.panic_error: 0
extension_config_discovery.http_filter.golang-filter-mcp-server.init_fetch_timeout: 0
extension_config_discovery.http_filter.golang-filter-mcp-server.last_update_success: 1
extension_config_discovery.http_filter.golang-filter-mcp-server.update_attempt: 2
extension_config_discovery.http_filter.golang-filter-mcp-server.update_failure: 0
extension_config_discovery.http_filter.golang-filter-mcp-server.update_rejected: 0
extension_config_discovery.http_filter.golang-filter-mcp-server.update_success: 1
extension_config_discovery.http_filter.golang-filter-mcp-server.update_time: 1788029654858
extension_config_discovery.http_filter.golang-filter-mcp-server.version: 3454460961708220952
extension_config_discovery.http_filter.golang-filter-mcp-session.config_conflict: 0
extension_config_discovery.http_filter.golang-filter-mcp-session.config_fail: 0
extension_config_discovery.http_filter.golang-filter-mcp-session.config_reload: 1
extension_config_discovery.http_filter.golang-filter-mcp-session.golang.panic_error: 0
extension_config_discovery.http_filter.golang-filter-mcp-session.init_fetch_timeout: 0
extension_config_discovery.http_filter.golang-filter-mcp-session.last_update_success: 1
extension_config_discovery.http_filter.golang-filter-mcp-session.update_attempt: 2
extension_config_discovery.http_filter.golang-filter-mcp-session.update_failure: 0
extension_config_discovery.http_filter.golang-filter-mcp-session.update_rejected: 0
extension_config_discovery.http_filter.golang-filter-mcp-session.update_success: 1
extension_config_discovery.http_filter.golang-filter-mcp-session.update_time: 1788029654689
extension_config_discovery.http_filter.golang-filter-mcp-session.version: 3454460961708220952
filesystem.flushed_by_timer: 976
filesystem.reopen_failed: 0
filesystem.write_buffered: 303
filesystem.write_completed: 65
filesystem.write_failed: 0
filesystem.write_total_buffered: 0
http.admin.downstream_cx_active: 1
http.admin.downstream_cx_delayed_close_timeout: 0
http.admin.downstream_cx_destroy: 1
http.admin.downstream_cx_destroy_active_rq: 0
http.admin.downstream_cx_destroy_local: 0
http.admin.downstream_cx_destroy_local_active_rq: 0
http.admin.downstream_cx_destroy_remote: 1
http.admin.downstream_cx_destroy_remote_active_rq: 0
http.admin.downstream_cx_drain_close: 0
http.admin.downstream_cx_http1_active: 1
http.admin.downstream_cx_http1_soft_drain: 0
http.admin.downstream_cx_http1_total: 2
