envoy-1  | 2026-09-23T10:11:13.221895357Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:467] initializing epoch 0 (base id=0, hot restart version=11.104)
envoy-1          | 2026-09-23T10:11:13.222136011Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.network: envoy.echo, envoy.ext_authz, envoy.filters.network.connect_authority, envoy.filters.network.connection_limit, envoy.filters.network.direct_response, envoy.filters.network.dubbo_proxy, envoy.filters.network.echo, envoy.filters.network.ext_authz, envoy.filters.network.golang, envoy.filters.network.http_connection_manager, envoy.filters.network.istio_stats, envoy.filters.network.kafka_broker, envoy.filters.network.kafka_mesh, envoy.filters.network.local_ratelimit, envoy.filters.network.metadata_exchange, envoy.filters.network.mongo_proxy, envoy.filters.network.mysql_proxy, envoy.filters.network.postgres_proxy, envoy.filters.network.ratelimit, envoy.filters.network.rbac, envoy.filters.network.redis_proxy, envoy.filters.network.rocketmq_proxy, envoy.filters.network.sip_proxy, envoy.filters.network.sni_cluster, envoy.filters.network.sni_dynamic_forward_proxy, envoy.filters.network.tcp_cluster_rewrite, envoy.filters.network.tcp_proxy, envoy.filters.network.thrift_proxy, envoy.filters.network.wasm, envoy.filters.network.zookeeper_proxy, envoy.http_connection_manager, envoy.mongo_proxy, envoy.ratelimit, envoy.redis_proxy, envoy.tcp_proxy, forward_downstream_sni, io.istio.network.authn, sni_verifier
envoy-1          | 2026-09-23T10:11:13.222173120Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.stat_matching_data.input: stat_full_name_match_input
envoy-1          | 2026-09-23T10:11:13.222208480Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.protocols: auto, binary, binary/non-strict, compact, twitter
envoy-1          | 2026-09-23T10:11:13.222218621Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.ssl.server_context_factory: envoy.ssl.server_context_factory.default
envoy-1          | 2026-09-23T10:11:13.222228393Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tls.cert_validator: envoy.tls.cert_validator.default, envoy.tls.cert_validator.spiffe
envoy-1          | 2026-09-23T10:11:13.222238428Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.clusters: envoy.cluster.dns, envoy.cluster.eds, envoy.cluster.logical_dns, envoy.cluster.original_dst, envoy.cluster.static, envoy.cluster.strict_dns, envoy.clusters.aggregate, envoy.clusters.dynamic_forward_proxy, envoy.clusters.redis
envoy-1          | 2026-09-23T10:11:13.222249112Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.custom_response: envoy.extensions.http.custom_response.local_response_policy, envoy.extensions.http.custom_response.redirect_policy
envoy-1          | 2026-09-23T10:11:13.222259700Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rds_factory: envoy.rds_factory.default
redis-fixture-1  | 2026-09-23T10:11:33.952376302Z {"seq": 2, "time_ns": 3388729971250, "event": "redis_get_seen", "id": "timeout-r1-000"}
redis-fixture-1  | 2026-09-23T10:11:34.050034166Z {"seq": 3, "time_ns": 3388827639556, "event": "upstream_seen", "id": "timeout-r1-000", "headers": {"host": "127.0.0.1:19468", "user-agent": "curl/7.81.0", "accept": "*/*", "x-http-cache-key": "timeout-r1-000", "x-verification-id": "timeout-r1-000", "x-forwarded-proto": "http", "x-envoy-original-host": "127.0.0.1:19468", "x-request-id": "2c9cf371-5815-4e12-b83c-160b2b847898", "x-envoy-expected-rq-timeout-ms": "15000", "req-start-time": "1790158293947"}}
redis-fixture-1  | 2026-09-23T10:11:34.051382463Z {"seq": 4, "time_ns": 3388829070312, "event": "redis_command", "id": "timeout-r1-000", "command": "SET", "args": ["higress-audit:timeout-r1-000", "{\"source\":\"upstream\",\"value\":\"fixture-only\"}"]}
redis-fixture-1  | 2026-09-23T10:11:34.054866015Z {"seq": 5, "time_ns": 3388832519852, "event": "client_complete", "id": "timeout-r1-000", "status": "200", "curl_exit": 0, "body_sha256": "405de3e3016afb9b6f10e3c4327b8843f4379292888d2513ac167d9fe7d9a2be"}
redis-fixture-1  | 2026-09-23T10:11:34.058502472Z {"seq": 6, "time_ns": 3388836142924, "event": "redis_release_requested", "id": "timeout-r1-000"}
redis-fixture-1  | 2026-09-23T10:11:34.058639341Z {"seq": 7, "time_ns": 3388836341980, "event": "redis_reply_released", "id": "timeout-r1-000", "mode": "timeout"}
redis-fixture-1  | 2026-09-23T10:11:34.164757241Z {"seq": 8, "time_ns": 3388942358518, "event": "redis_release_requested", "id": "timeout-r1-000"}
envoy-1          | 2026-09-23T10:11:13.222269516Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.filters: envoy.filters.thrift.header_to_metadata, envoy.filters.thrift.rate_limit, envoy.filters.thrift.router
envoy-1          | 2026-09-23T10:11:13.222279577Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_session: envoy.http.stateful_session.cookie, envoy.http.stateful_session.header
envoy-1          | 2026-09-23T10:11:13.222289841Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
envoy-1          | 2026-09-23T10:11:13.222301724Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.route.early_data_policy: envoy.route.early_data_policy.default
envoy-1          | 2026-09-23T10:11:13.222311656Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstreams: envoy.filters.connection_pools.http.dubbo_tcp, envoy.filters.connection_pools.http.generic, envoy.filters.connection_pools.http.http, envoy.filters.connection_pools.http.tcp
envoy-1          | 2026-09-23T10:11:13.222330973Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.http.upstream: envoy.buffer, envoy.ext_proc, envoy.filters.http.admission_control, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.buffer, envoy.filters.http.composite, envoy.filters.http.ext_proc, envoy.filters.http.header_mutation, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.upstream_codec, envoy.filters.http.wasm
envoy-1          | 2026-09-23T10:11:13.222342773Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.path.rewrite: envoy.path.rewrite.uri_template.uri_template_rewriter
envoy-1          | 2026-09-23T10:11:13.222352837Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.action: envoy.matching.actions.format_string, filter-chain-name
envoy-1          | 2026-09-23T10:11:13.222362689Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.stats_sinks: envoy.dog_statsd, envoy.graphite_statsd, envoy.metrics_service, envoy.open_telemetry_stat_sink, envoy.stat_sinks.dog_statsd, envoy.stat_sinks.graphite_statsd, envoy.stat_sinks.hystrix, envoy.stat_sinks.metrics_service, envoy.stat_sinks.open_telemetry, envoy.stat_sinks.statsd, envoy.stat_sinks.wasm, envoy.statsd
envoy-1          | 2026-09-23T10:11:13.222374106Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tracers: envoy.tracers.datadog, envoy.tracers.opentelemetry, envoy.tracers.skywalking, envoy.tracers.xray, envoy.tracers.zipkin, envoy.zipkin
envoy-1          | 2026-09-23T10:11:13.222384486Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.protocols: dubbo
envoy-1          | 2026-09-23T10:11:13.222394833Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.server.crypto_stream: envoy.quic.crypto_stream.server.quiche
envoy-1          | 2026-09-23T10:11:13.222404697Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
envoy-1          | 2026-09-23T10:11:13.222414409Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.built_in_formatters: envoy.built_in_formatters.http.default, envoy.built_in_formatters.metadata, envoy.built_in_formatters.stream_info.default
envoy-1          | 2026-09-23T10:11:13.222424861Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.http.input: envoy.matching.inputs.destination_ip, envoy.matching.inputs.destination_port, envoy.matching.inputs.direct_source_ip, envoy.matching.inputs.dns_san, envoy.matching.inputs.filter_state, envoy.matching.inputs.network_namespace, envoy.matching.inputs.request_headers, envoy.matching.inputs.request_trailers, envoy.matching.inputs.response_headers, envoy.matching.inputs.response_trailers, envoy.matching.inputs.server_name, envoy.matching.inputs.source_ip, envoy.matching.inputs.source_port, envoy.matching.inputs.source_type, envoy.matching.inputs.status_code_class_input, envoy.matching.inputs.status_code_input, envoy.matching.inputs.subject, envoy.matching.inputs.uri_san, query_params
envoy-1          | 2026-09-23T10:11:13.222438378Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_mux: envoy.config_mux.delta_grpc_mux_factory, envoy.config_mux.grpc_mux_factory, envoy.config_mux.new_grpc_mux_factory, envoy.config_mux.sotw_grpc_mux_factory
envoy-1          | 2026-09-23T10:11:13.222456134Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers.extension_filters: envoy.access_loggers.extension_filters.cel
envoy-1          | 2026-09-23T10:11:13.222465970Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   quic.http_server_connection: quic.http_server_connection.default
envoy-1          | 2026-09-23T10:11:13.222476222Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.common_inputs: envoy.matching.common_inputs.environment_variable
envoy-1          | 2026-09-23T10:11:13.222486138Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.upstream.local_address_selector: envoy.upstream.local_address_selector.default_local_address_selector
envoy-1          | 2026-09-23T10:11:13.222499539Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.http: envoy.bandwidth_limit, envoy.buffer, envoy.cors, envoy.csrf, envoy.ext_authz, envoy.ext_proc, envoy.fault, envoy.filters.http.adaptive_concurrency, envoy.filters.http.admission_control, envoy.filters.http.alternate_protocols_cache, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.bandwidth_limit, envoy.filters.http.buffer, envoy.filters.http.cache, envoy.filters.http.cdn_loop, envoy.filters.http.composite, envoy.filters.http.compressor, envoy.filters.http.connect_authority, envoy.filters.http.connect_grpc_bridge, envoy.filters.http.cors, envoy.filters.http.csrf, envoy.filters.http.custom_response, envoy.filters.http.decompressor, envoy.filters.http.dynamic_forward_proxy, envoy.filters.http.ext_authz, envoy.filters.http.ext_proc, envoy.filters.http.fault, envoy.filters.http.gcp_authn, envoy.filters.http.golang, envoy.filters.http.grpc_field_extraction, envoy.filters.http.grpc_http1_bridge, envoy.filters.http.grpc_http1_reverse_bridge, envoy.filters.http.grpc_json_transcoder, envoy.filters.http.grpc_stats, envoy.filters.http.grpc_web, envoy.filters.http.header_mutation, envoy.filters.http.header_to_metadata, envoy.filters.http.health_check, envoy.filters.http.http_dubbo_transcoder, envoy.filters.http.ip_tagging, envoy.filters.http.istio_stats, envoy.filters.http.jwt_authn, envoy.filters.http.local_ratelimit, envoy.filters.http.lua, envoy.filters.http.match_delegate, envoy.filters.http.mcp_sse_stateful_session, envoy.filters.http.oauth2, envoy.filters.http.on_demand, envoy.filters.http.original_src, envoy.filters.http.peer_metadata, envoy.filters.http.ratelimit, envoy.filters.http.rbac, envoy.filters.http.router, envoy.filters.http.set_metadata, envoy.filters.http.stateful_session, envoy.filters.http.sxg, envoy.filters.http.tap, envoy.filters.http.wasm, envoy.grpc_http1_bridge, envoy.grpc_json_transcoder, envoy.grpc_web, envoy.health_check, envoy.ip_tagging, envoy.local_rate_limit, envoy.lua, envoy.rate_limit, envoy.router, istio.alpn, istio_authn
envoy-1          | 2026-09-23T10:11:13.222521647Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.matching.input_matchers: envoy.matching.matchers.consistent_hashing, envoy.matching.matchers.ip
envoy-1          | 2026-09-23T10:11:13.222531838Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.resource_monitors: envoy.resource_monitors.fixed_heap, envoy.resource_monitors.injected_resource
envoy-1          | 2026-09-23T10:11:13.222542062Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.router.cluster_specifier_plugin: envoy.router.cluster_specifier_plugin.cluster_fallback, envoy.router.cluster_specifier_plugin.golang
envoy-1          | 2026-09-23T10:11:13.222560203Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.internal_redirect_predicates: envoy.internal_redirect_predicates.allow_listed_routes, envoy.internal_redirect_predicates.previous_routes, envoy.internal_redirect_predicates.safe_cross_scheme
envoy-1          | 2026-09-23T10:11:13.222570723Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.retry_host_predicates: envoy.retry_host_predicates.omit_canary_hosts, envoy.retry_host_predicates.omit_host_metadata, envoy.retry_host_predicates.previous_hosts
envoy-1          | 2026-09-23T10:11:13.222580918Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.health_checkers: envoy.health_checkers.grpc, envoy.health_checkers.http, envoy.health_checkers.redis, envoy.health_checkers.tcp
envoy-1          | 2026-09-23T10:11:13.222591007Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.guarddog_actions: envoy.watchdog.abort_action, envoy.watchdog.profile_action
envoy-1          | 2026-09-23T10:11:13.222600767Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.udp_packet_writer: envoy.udp_packet_writer.default, envoy.udp_packet_writer.gso
envoy-1          | 2026-09-23T10:11:13.222611803Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.mcp_sse_stateful_session: envoy.http.mcp_sse_stateful_session.envelope
envoy-1          | 2026-09-23T10:11:13.222621847Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   network.connection.client: default, envoy_internal
envoy-1          | 2026-09-23T10:11:13.222631800Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.filters: envoy.filters.dubbo.router
envoy-1          | 2026-09-23T10:11:13.222641455Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.original_ip_detection: envoy.http.original_ip_detection.custom_header, envoy.http.original_ip_detection.xff
envoy-1          | 2026-09-23T10:11:13.222651419Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.resolvers: envoy.ip
envoy-1          | 2026-09-23T10:11:13.222660928Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.connection_id_generator: envoy.quic.deterministic_connection_id_generator
envoy-1          | 2026-09-23T10:11:13.222670780Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.network.dns_resolver: envoy.network.dns_resolver.cares
envoy-1          | 2026-09-23T10:11:13.222680524Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.http.stateful_header_formatters: envoy.http.stateful_header_formatters.preserve_case, preserve_case
envoy-1          | 2026-09-23T10:11:13.222690488Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.access_loggers: envoy.access_loggers.file, envoy.access_loggers.http_grpc, envoy.access_loggers.open_telemetry, envoy.access_loggers.stderr, envoy.access_loggers.stdout, envoy.access_loggers.tcp_grpc, envoy.access_loggers.wasm, envoy.file_access_log, envoy.http_grpc_access_log, envoy.open_telemetry_access_log, envoy.stderr_access_log, envoy.stdout_access_log, envoy.tcp_grpc_access_log, envoy.wasm_access_log
envoy-1          | 2026-09-23T10:11:13.222702724Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   filter_state.object: envoy.filters.listener.original_dst.local_ip, envoy.filters.listener.original_dst.remote_ip, envoy.network.application_protocols, envoy.network.transport_socket.original_dst_address, envoy.network.upstream_server_name, envoy.network.upstream_subject_alt_names, envoy.ratelimit.hits_addend, envoy.router.debug_config, envoy.tcp_proxy.cluster, envoy.tcp_proxy.disable_tunneling, envoy.tcp_proxy.per_connection_idle_timeout_ms, envoy.upstream.dynamic_host, envoy.upstream.dynamic_port
envoy-1          | 2026-09-23T10:11:13.222722268Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.retry_priorities: envoy.retry_priorities.previous_priorities
envoy-1          | 2026-09-23T10:11:13.222732156Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.config_subscription: envoy.config_subscription.ads, envoy.config_subscription.ads_collection, envoy.config_subscription.aggregated_grpc_collection, envoy.config_subscription.delta_grpc, envoy.config_subscription.delta_grpc_collection, envoy.config_subscription.filesystem, envoy.config_subscription.filesystem_collection, envoy.config_subscription.grpc, envoy.config_subscription.rest
envoy-1          | 2026-09-23T10:11:13.222743544Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.udp_listener: envoy.filters.udp.dns_filter, envoy.filters.udp_listener.udp_proxy
envoy-1          | 2026-09-23T10:11:13.222753380Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.sip_proxy.filters: envoy.filters.sip.router
envoy-1          | 2026-09-23T10:11:13.222762997Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.thrift_proxy.transports: auto, framed, header, unframed
envoy-1          | 2026-09-23T10:11:13.222773033Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.filters.listener: envoy.filters.listener.http_inspector, envoy.filters.listener.original_dst, envoy.filters.listener.original_src, envoy.filters.listener.proxy_protocol, envoy.filters.listener.tls_inspector, envoy.listener.http_inspector, envoy.listener.original_dst, envoy.listener.original_src, envoy.listener.proxy_protocol, envoy.listener.tls_inspector, istio.set_internal_dst_address
envoy-1          | 2026-09-23T10:11:13.222784952Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.load_balancing_policies: envoy.load_balancing_policies.least_request, envoy.load_balancing_policies.maglev, envoy.load_balancing_policies.override_host, envoy.load_balancing_policies.random, envoy.load_balancing_policies.ring_hash, envoy.load_balancing_policies.round_robin, envoy.load_balancing_policies.subset
envoy-1          | 2026-09-23T10:11:13.222796108Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.quic.proof_source: envoy.quic.proof_source.filter_chain
envoy-1          | 2026-09-23T10:11:13.222806220Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.srds_factory: envoy.srds_factory.default
envoy-1          | 2026-09-23T10:11:13.222817525Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.compression.compressor: envoy.compression.brotli.compressor, envoy.compression.gzip.compressor, envoy.compression.zstd.compressor
envoy-1          | 2026-09-23T10:11:13.222827620Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.grpc_credentials: envoy.grpc_credentials.default, envoy.grpc_credentials.file_based_metadata
envoy-1          | 2026-09-23T10:11:13.222837601Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.dubbo_proxy.serializers: dubbo.hessian2
envoy-1          | 2026-09-23T10:11:13.222855005Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.listener_manager_impl: envoy.listener_manager_impl.default, envoy.listener_manager_impl.validation
envoy-1          | 2026-09-23T10:11:13.222865017Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.transport_sockets.downstream: envoy.transport_sockets.alts, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tls, raw_buffer, starttls, tls
envoy-1          | 2026-09-23T10:11:13.222875657Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.compression.decompressor: envoy.compression.brotli.decompressor, envoy.compression.gzip.decompressor, envoy.compression.zstd.decompressor
envoy-1          | 2026-09-23T10:11:13.222885681Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.common.key_value: envoy.key_value.file_based
envoy-1          | 2026-09-23T10:11:13.222896410Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.regex_engines: envoy.regex_engines.google_re2
envoy-1          | 2026-09-23T10:11:13.222906062Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.wasm.runtime: envoy.wasm.runtime.null, envoy.wasm.runtime.v8
envoy-1          | 2026-09-23T10:11:13.222915834Z [2026-09-23 10:11:13.221][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.transport_sockets.upstream: envoy.transport_sockets.alts, envoy.transport_sockets.internal_upstream, envoy.transport_sockets.quic, envoy.transport_sockets.raw_buffer, envoy.transport_sockets.starttls, envoy.transport_sockets.tap, envoy.transport_sockets.tls, envoy.transport_sockets.upstream_proxy_protocol, raw_buffer, starttls, tls
envoy-1          | 2026-09-23T10:11:13.222927013Z [2026-09-23 10:11:13.222][1][info][main] [external/envoy/source/server/server.cc:471]   envoy.tls.key_providers: cryptomb, qat
envoy-1          | 2026-09-23T10:11:13.228377958Z [2026-09-23 10:11:13.228][1][info][main] [external/envoy/source/server/server.cc:531] HTTP header map info:
